,%,region,state
0,13.9,M,AL
1,11.7,W,AK
2,18.9,W,AZ
3,22.6,M,AR
4,9.0,W,CA
5,16.7,W,CO
6,5.6,E,CN
7,5.7,E,DE
8,20.0,E,DC
9,16.8,E,FL
10,16.5,E,GA
11,8.0,W,HI
12,22.1,W,ID
13,16.5,M,IL
14,13.8,M,IN
15,22.2,M,IA
16,16.8,M,KA
17,21.4,M,KY
18,15.0,M,LA
19,13.4,E,ME
20,10.8,E,MD
21,9.3,E,MA
22,16.3,M,MI
23,17.4,M,MN
24,19.1,M,MS
25,9.9,M,MO
26,9.2,W,MT
27,23.2,M,NE
28,10.8,W,NV
29,16.9,M,ND
30,11.6,E,NH
31,8.0,E,NJ
32,21.1,W,NM
33,11.4,E,NY
34,16.3,E,NC
35,14.0,E,OH
36,23.2,M,OK
37,17.7,W,OR
38,10.8,E,PA
39,7.9,E,RI
40,20.6,E,SC
41,6.4,M,SD
42,20.3,M,TN
43,20.9,M,TX
44,25.5,W,UT
45,10.8,E,VA
46,5.1,E,VT
47,16.3,W,WA
48,11.6,E,WV
49,15.2,M,WI
50,11.4,W,WY
